date,BAB,CMA,CMAs,CPTLT,FIN,HML,HML_DEV,HMLs,LIQ,LTREV,MGMT,MKTS,MKTSs,MOMS,PEAD,PERF,QMJ,RMW,RMWs,R_IA,R_ROE,SMB,SMBs,STREV
1990-10-31,-0.04053977,-0.003,-0.0039,-0.0616,0.0191565435266567,0.001,-0.034110748,-0.0121,-0.01307316,-0.0338,0.0085058364126977,-0.0192,0.0325,0.0670999999999999,0.0281509237453856,0.0541803893191742,0.042958062,0.0297,0.0205,0.002605,0.02077,-0.0512,-0.0082,-0.0268
1990-11-30,-0.051169319,-0.0474,-0.025,0.1321999999999999,-0.0307022795873726,-0.031,-0.002158865,-0.0175,-0.01186456,-0.0063,-0.0187576880653732,0.0635,-0.0131,-0.0548,0.0112141042441852,-0.0211472298754366,-0.00868566,0.0065,0.0038,-0.039833,0.015215,0.0007,-0.0139,0.0584999999999999
1990-12-31,-0.012442548,-0.0189,-0.0069,0.0343,0.0196887843943125,-0.017,-0.015567933,-0.0094,-0.03435371,-0.0208,-0.0101015281009451,0.0246,0.0277,0.0029,-0.0063423689669459,0.0105533989165065,0.021603319,0.0273,0.0126,-0.019466,0.038535,0.0067,-0.0051,-0.0301
1991-01-31,-0.06134642,-0.0399,0.0006,0.068,-0.0563515925280172,-0.016,0.011330965,0.0107,-0.09480416,0.0630999999999999,-0.0182053354089447,0.0469,-0.0831,-0.0645,0.0493607563031193,0.0043506948292401,-0.009687562,0.0128,-0.0022,-0.0395029999999999,0.001591,0.0391,0.0339,-0.0192999999999999
1991-02-28,0.015514328,-0.0033,-0.0072,0.1106,-0.0313003314322922,-0.0058,0.029900136,-0.0085,-0.01976099,0.0113,-0.0101654438668338,0.0719,0.024,-0.0461,-0.0127085909633052,-0.0334555530917267,-0.032749336,-0.002,0.0071,0.001463,-0.012402,0.0394,0.0215,0.0192999999999999
1991-03-31,0.01438555,-0.0106,-0.0029,0.0567999999999999,-0.0066582622060023,-0.0139,-0.009966162,-0.0052,-0.00719494,-0.0045,-0.0019791279096389,0.0265,-0.0146,0.0287,0.0262086955448208,0.012138360783741,-0.005354653,-0.0053,-0.0018,-0.009285,0.016779,0.0383,0.0252,0.0052
1991-04-30,0.048501487,0.0074,-0.0042,0.0233,0.012334103661506,0.015,0.008546303,-0.0026,0.01658207,-0.0121999999999999,0.0051289257880704,-0.0028,0.0363,-0.0236,0.0076260956741301,-0.0265571345238142,0.000359531,0.0062,0.0157,0.004677,0.0139809999999999,0.0031,-0.023,0.0157
1991-05-31,0.011412241,-0.0243,-0.0085,0.0383,-0.0052825132946346,-0.0052,-0.006373738,0.0062,-0.01043347,0.0137,-0.0082559384951614,0.0365,-0.0366,-0.0011,0.0070972935060895,0.0003704589953057,-0.003993334,0.02,-0.0005,-0.0195259999999999,-0.007118,0.0014,0.0245,0.0008
1991-06-30,0.025608081,0.0065,-0.0103,-0.0983,0.0413578815450042,0.0115,0.014223644,-0.0075,0.02998807,-0.0176,0.0194536444133482,-0.0494,0.0071,0.0046999999999999,0.0017763991579895,0.0035490370561863,0.024230145,0.0179,0.0161,0.006135,0.013683,0.0024,-0.0037,0.0206
1991-07-31,0.003145153,-0.0136,-0.0167,0.0915,-0.0230602188819331,-0.0132,-0.023593738,-0.012,0.01557791,0.0072,-0.0233564102362662,0.0424,0.0204,0.0432,0.0099531120927755,0.0089461792501262,0.001276133,0.016,0.0133,-0.00642,0.03047,-0.0096,-0.031,0.0213
1991-08-31,0.01315693,-0.0034,-0.0001,0.0528,-0.0267517526546241,-0.0078,-0.01733973,0.008,-0.01699254,-0.005,-0.0168349523094067,0.0232,-0.0013,0.0157,0.0123967014968296,0.0001368874064931,0.001100518,0.0084,0.005,-0.0004639999999999,0.011455,0.0139999999999999,0.0004,-0.0292
