date,MKTB,DRF,MKTBD,CRF,VAL,CRY,MOMB,LTREVB,DUR,HMLB,STREVB,SZE,DEF,TERM,PEADB,MOMBS
31/05/1991,0.001975957,-0.000855729,0.002702865,0.004050495,0.003596775,0.002069361,-0.002764901,4.63E-06,-0.003994849,-0.001425077,-0.000977145,0.000496068,0.0039,-0.0053,0.003019143,0.001275182
30/06/1991,-0.002420156,-0.000984811,0.005615454,0.009323171,0.005102803,0.006174236,-0.001795633,0.002085205,-0.002993449,0.002210381,0.003462737,-0.001934478,0.0045,-0.011,0.000693805,0.002330029
31/07/1991,0.010183689,0.010142819,0.002014235,-0.000783017,0.000206869,0.002655293,0.003179147,0.004098266,0.00523841,0.006532046,0.000702029,-0.000415445,0.001,0.0115,0.000428501,0.001119475
31/08/1991,0.018005369,0.015357845,-0.002354176,-0.003794796,-0.00857269,-0.004892858,-0.001951632,-0.000485293,0.011773842,0.010562958,-0.009242858,0.003451119,-0.0065,0.0291,6.31E-05,-0.00209456
30/09/1991,0.015695233,0.011878713,-0.00459799,-0.003440135,-0.008331148,-0.003801029,-0.000841652,-0.001233759,0.010628241,0.00594056,-0.009213557,-0.00016358,-0.0032,0.0257,-0.002040526,0.000358533
31/10/1991,0.006110876,-0.002033785,0.001625114,0.002919955,0.003118507,-3.16E-05,-0.000830073,-0.000982969,-0.005092587,0.002935999,0.002812723,0.00043429,-0.0011,0.0008,0.00182532,0.000635601
30/11/1991,0.005917463,0.00038214,0.000476256,-0.001503384,-0.001914872,-0.00261814,0.001343719,0.001500275,-0.001199091,0.000610544,-0.000747201,-0.000773585,0.0024,0.004,0.000155608,0.000431183
31/12/1991,0.028168611,0.028448899,-0.00849919,-0.009895486,-0.020831447,-0.009761655,0.02165385,-0.001997919,0.028857056,0.013344098,0.007218145,-0.000780385,-0.0145,0.0542,-0.000935009,-0.002357017
31/01/1992,-0.012377395,-0.010659987,0.009993767,0.013205822,0.019606585,0.020833875,-0.01635755,0.009579343,-0.022245846,0.007814146,0.033888825,-0.003855456,0.0151,-0.0362,0.000537831,-0.003191828
29/02/1992,0.008014692,0.010248486,0.007069654,0.005389498,-0.001332506,0.004631684,0.005249462,0.00225137,0.007833954,0.004947566,0.004420359,-0.001007892,0.0045,0.0017,0.001091496,-0.00218371
31/03/1992,-0.00573716,-0.003500843,0.003982781,0.00945258,0.008307182,0.011134711,-0.006210677,0.002474127,-0.005739163,0.001859072,0.003996108,-0.000718982,0.0021,-0.0122,0.00122499,0.00175826
30/04/1992,0.002626413,-0.004381641,0.000402636,0.003754717,0.006764946,0.002342874,-0.001661305,0.004233095,-0.009289766,0.001456259,-0.002251105,0.002695515,0,-0.0018,0.004085717,0.005968963
31/05/1992,0.01894537,0.015708587,0.002144118,-0.002954054,-0.009633042,-0.001358702,0.005933889,-0.001627574,0.014851886,0.008823043,0.008806003,-0.001143894,0.0011,0.0211,0.002372523,0.000856034
30/06/1992,0.012233198,0.004693683,-0.000880091,-0.000429074,-0.003531227,-0.004229348,-0.002186183,-0.000202324,0.001133501,0.002348409,-0.005999653,0.000508045,-0.0044,0.0172,0.000300711,0.002604429
31/07/1992,0.022342719,0.01588327,-0.004187175,-0.003506461,-0.008882909,-0.003592428,-0.009574705,0.000977852,0.015792551,0.004225723,-0.011401917,-0.00709129,-0.009,0.0366,0.003188114,0.001860457
31/08/1992,0.004814873,-0.000442507,-0.002369766,0.000295702,0.00326398,-0.000625363,-0.00270734,0.002832837,-0.000651759,0.001820718,-0.002567745,-0.005784497,0.0023,0.0036,0.002009945,0.001570276
30/09/1992,0.009781421,0.003466488,-0.004503483,-0.000750731,-0.001492926,-0.004153266,0.004113456,-0.001009482,0.000124689,0.004243246,0.000948074,-0.000367264,-0.0086,0.0159,0.000811219,0.000130314
31/10/1992,-0.019141597,-0.008228913,-0.000582156,0.002522127,0.012916242,0.011014331,-0.019347238,-0.001071187,-0.012009902,0.004868868,0.012228839,0.014268574,0.0042,-0.0224,0.004359863,0.007472741
30/11/1992,0.000325294,0.003434844,0.005205381,0.002405649,-0.001506553,0.013800005,-0.002015797,0.004052924,0.010616965,0.003467029,0.002659418,-0.001103184,0.0059,-0.0013,-0.000553792,0.000960841
31/12/1992,0.015506282,0.013051491,0.000274089,-0.002838134,-0.006763866,6.78E-05,0.003707954,-0.002712607,0.012521634,0.002591787,-0.004736757,-0.003955032,-0.0018,0.0223,0.00035148,0.000542582
31/01/1993,0.0215719,0.01495933,0.000210139,0.001485838,-0.00808429,-0.001754774,0.002257159,-0.002824821,0.010672198,0.003201542,-0.013870943,-0.008011326,-0.003,0.0252,-0.000227471,-0.000909971
28/02/1993,0.020273266,0.013194749,-0.00019893,-0.0015577,-0.011460296,-0.003330552,0.003185394,-0.001281634,0.016134052,-0.001058312,-0.015541464,-0.007360183,-0.0098,0.0331,-0.001558692,-0.00055842
31/03/1993,0.002483444,0.001880815,0.001243098,0.005634071,0.004660321,0.003693492,-0.003829783,0.000919744,-0.003913874,0.003518223,0.004349816,0.001855319,0.0004,-0.0001,0.000159141,0.00183638
30/04/1993,0.005341254,0.000717906,-0.000208457,0.00244867,0.00171106,-0.000468794,-0.001917753,-0.00089345,-0.002491112,0.000834066,-0.002466694,-0.000551582,-0.002,0.0047,-0.001701842,0.00146097
31/05/1993,-4.53E-05,0.004067015,0.002567505,0.005485207,0.003131133,0.007652228,0.000820832,0.000675726,0.002497443,0.002546248,0.001949502,-0.001506012,-0.0027,0.0023,0.000247423,0.000704215
30/06/1993,0.021195326,0.014071565,-0.001896709,0.000883413,-0.013576475,-0.00199596,0.02114501,-3.21E-06,0.019585155,0.002735761,-0.002778634,-0.009606081,-0.0156,0.0427,0.004295784,-0.00092434
31/07/1993,0.005088451,0.003877764,0.002027479,0.001918987,-0.002378057,0.005800352,0.003073055,0.000641336,0.009224664,-1.81E-05,-0.006126363,-0.000309477,-0.0091,0.0166,0.001527454,0.002615272
31/08/1993,0.019972269,0.011881982,-0.001556532,-0.008482552,-0.016817958,-0.004010483,0.019789231,-0.002135589,0.020892017,-0.004497931,-0.015910679,-0.00667846,-0.0147,0.041,0.000595472,0.001044801
30/09/1993,-6.95E-05,0.001548177,-0.002703335,-0.003208229,0.000510464,-0.00431414,-0.002355249,-0.000828375,-0.003282549,-0.000245673,0.004122162,0.002727093,0.0038,-0.002,0.000327849,0.002426165
31/10/1993,0.00550415,0.00245227,0.004093259,0.008949794,0.001055733,0.007560143,-9.02E-05,0.002278268,0.003753317,0.002640935,0.002681917,0.000396859,-0.0045,0.007,0.001688124,0.001527037
30/11/1993,-0.01274984,-0.011835584,0.003374882,0.010035847,0.014560884,0.00570826,-0.022528022,0.00073636,-0.019709453,0.007947674,0.004477402,0.004888466,0.0071,-0.0281,0.002396201,0.000611774
31/12/1993,0.004629488,0.002689245,0.001245349,0.002070762,0.001957869,0.002879238,0.000243402,-0.000171194,0.000177634,0.001951638,-0.000513287,-0.000600763,0.0047,-0.0005,0.000942702,-0.000243245
31/01/1994,0.01689311,0.013586413,0.005754671,0.004355291,-0.005957249,0.006515637,0.004934636,0.002117049,0.013845154,0.001830865,0.000305096,-0.005467188,-0.0055,0.0234,0.000222946,0.002312695
28/02/1994,-0.022042294,-0.017919224,0.005622546,0.010614498,0.016897363,0.004398681,-0.006686581,0.007768092,-0.020818119,0.003708982,0.02201879,0.007746324,0.0164,-0.0475,0.002445795,0.00139326
31/03/1994,-0.033801543,-0.035164864,-0.003509829,-0.006368694,0.019102472,-0.006307598,0.002791075,0.01544773,-0.032035824,-0.005145233,-0.033193098,0.008226062,0.0012,-0.0416,0.000121027,5.01E-05
30/04/1994,-0.011463798,-0.007545807,0.000773464,0.000381757,0.00628817,0.002193513,0.00647312,0.006349846,-0.007561375,-0.004080865,-0.009985685,0.004732657,0.0053,-0.0177,0.001216155,0.002464175
31/05/1994,-0.005914065,-0.006890256,-0.001554524,0.001820137,0.006763149,-0.001285374,0.009531038,0.001300985,-0.011460066,-0.004134414,-0.00648309,0.000433722,0.002,-0.0109,-0.000430544,0.006768505
30/06/1994,-0.004510512,-0.007579018,0.002717902,0.005667408,0.00398991,-0.001390066,0.005887505,0.002687253,-0.007952566,-0.002552644,-0.004918878,-0.001154574,0.0019,-0.0131,0.001661939,0.001416531
31/07/1994,0.020071458,0.022424477,0.002674768,-0.00235994,-0.008058788,0.007012288,-0.019258406,-0.008407383,0.020436795,0.006279092,0.020108382,-0.000874808,-0.0054,0.0332,0.000984532,-0.000902397
31/08/1994,-0.001825979,-0.006857578,0.001155494,0.006469063,0.003775025,-0.002565974,0.005743862,0.001913845,-0.007921376,-0.00032544,0.009470555,-8.21E-05,0.0055,-0.0114,6.87E-07,0.000623969
30/09/1994,-0.019961315,-0.02455399,0.001700734,0.006789584,0.008265941,-0.006324507,0.018045079,0.01144851,-0.022366,-0.007846102,-0.014012108,0.000222115,0.0066,-0.0368,-0.000876638,0.002033536
31/10/1994,-0.005433218,-0.006643669,0.000501543,0.003520052,0.002517172,0.000348817,0.002228577,0.003611267,-0.004305069,-0.003416443,-0.006043816,-0.00204478,-0.0025,-0.0062,6.26E-05,0.000482808
30/11/1994,-0.007104059,0.00271027,-0.001778849,-0.0052824,-0.004089557,0.003153035,-0.005825764,0.002882416,0.008413172,-0.000521498,-0.001340783,0.003257091,-0.0048,0.0028,0.001572153,0.002607361
31/12/1994,0.00378318,0.010527461,0.000890858,-0.001102694,-0.002943813,0.00766313,-0.009015913,-0.00119929,0.010784716,0.00548715,-0.006226665,-0.001646586,-0.0004,0.0124,0.000482063,0.001007282
31/01/1995,0.016447866,0.010779967,0.001056235,-0.002954299,-0.004808926,0.000628339,-0.004014007,-0.00351572,0.009834279,0.003292851,-0.007291237,-9.59E-05,-0.0017,0.0229,0.002272615,0.001011502
28/02/1995,0.025322174,0.019509662,0.006241204,0.003548072,-0.001270103,0.006607933,-0.013471049,-0.007849034,0.011532977,0.008657669,-0.013367022,-0.002029417,0.0002,0.0245,-0.000200203,0.000165848
31/03/1995,0.003682546,0.004353035,0.000740109,0.002091304,-0.000992734,0.003617336,0.001845686,-2.83E-05,0.003980766,0.000784646,-0.001390734,-0.000368349,0.0004,0.0051,0.000974823,0.002489832
30/04/1995,0.012576114,0.009368485,0.002217291,0.002514821,-0.000420706,0.005044875,0.005211953,-0.003010166,0.006734576,0.00407054,-0.002217604,-0.000582418,0.0006,0.0123,0.000249801,0.002405614
31/05/1995,0.038030118,0.041691552,-0.004071772,-0.010531292,-0.018849328,0.008124555,0.032043904,-0.003802388,0.034565108,0.009138979,-0.029412791,-0.001495364,-0.0159,0.0746,-0.004264457,0.000284782
